circuit,task,head_i,head_j,layer_i,layer_j,layer_dist,walsh_coeff,abs_walsh,ov_overlap,qk_comp,q_comp_ij,q_comp_ji,k_comp_ij,k_comp_ji,mean_principal_angle,faithfulness
rti_random,rti,L1H0,L9H4,1,9,8,0.00042709767870974247,0.00042709767870974247,0.040837567299604416,0.034132517874240875,0.033879607915878296,0.0,0.034132517874240875,0.0,1.4783382415771484,0.12627003341913223
rti_random,rti,L1H0,L10H8,1,10,9,1.3027173565660632e-05,1.3027173565660632e-05,0.044232238084077835,0.04492371156811714,0.03508070856332779,0.0,0.04492371156811714,0.0,1.4771432876586914,0.12627003341913223
rti_random,rti,L1H10,L3H8,1,3,2,-0.00013865967929405087,0.00013865967929405087,0.034770622849464417,0.09389990568161011,0.04296011105179787,0.0,0.09389990568161011,0.0,1.4893760681152344,0.12627003341913223
rti_random,rti,L1H10,L3H9,1,3,2,4.480156263753088e-05,4.480156263753088e-05,0.031276337802410126,0.06333284825086594,0.03614497929811478,0.0,0.06333284825086594,0.0,1.4905118942260742,0.12627003341913223
rti_random,rti,L1H10,L3H10,1,3,2,0.00013555452932223488,0.00013555452932223488,0.041505005210638046,0.05113945156335831,0.04759199172258377,0.0,0.05113945156335831,0.0,1.4690699577331543,0.12627003341913223
rti_random,rti,L1H10,L4H8,1,4,3,7.338756023500537e-05,7.338756023500537e-05,0.03537365421652794,0.0372888445854187,0.0372888445854187,0.0,0.03416657820343971,0.0,1.4889194965362549,0.12627003341913223
rti_random,rti,L1H10,L6H5,1,6,5,5.563894495708155e-05,5.563894495708155e-05,0.036158572882413864,0.05848963186144829,0.053213078528642654,0.0,0.05848963186144829,0.0,1.4900707006454468,0.12627003341913223
rti_random,rti,L1H10,L6H10,1,6,5,-2.224371979764328e-05,2.224371979764328e-05,0.03680136054754257,0.034263696521520615,0.033675674349069595,0.0,0.034263696521520615,0.0,1.4722328186035156,0.12627003341913223
rti_random,rti,L1H10,L7H10,1,7,6,-4.820009081640819e-05,4.820009081640819e-05,0.027309715747833252,0.04322349280118942,0.04322349280118942,0.0,0.04037634655833244,0.0,1.5143516063690186,0.12627003341913223
rti_random,rti,L1H10,L8H1,1,8,7,-1.0530296833621833e-05,1.0530296833621833e-05,0.029260190203785896,0.04781164973974228,0.04781164973974228,0.0,0.045886993408203125,0.0,1.5119651556015015,0.12627003341913223
rti_random,rti,L1H10,L8H8,1,8,7,-5.507400095439152e-05,5.507400095439152e-05,0.027052393183112144,0.06386986374855042,0.04724586382508278,0.0,0.06386986374855042,0.0,1.5181312561035156,0.12627003341913223
rti_random,rti,L1H10,L8H11,1,8,7,3.5014750778827874e-06,3.5014750778827874e-06,0.027951395139098167,0.0583832710981369,0.05049540102481842,0.0,0.0583832710981369,0.0,1.5122385025024414,0.12627003341913223
rti_random,rti,L1H10,L9H4,1,9,8,-0.00019065759710201746,0.00019065759710201746,0.03555178642272949,0.03868074342608452,0.03868074342608452,0.0,0.038288697600364685,0.0,1.4693750143051147,0.12627003341913223
rti_random,rti,L1H10,L10H8,1,10,9,-9.293508867358469e-06,9.293508867358469e-06,0.02894238755106926,0.037683602422475815,0.03371892124414444,0.0,0.037683602422475815,0.0,1.509040355682373,0.12627003341913223
rti_random,rti,L3H8,L3H9,3,3,0,0.0002506136526676528,0.0002506136526676528,0.05214910954236984,0.0,0.0,0.0,0.0,0.0,1.3816461563110352,0.12627003341913223
rti_random,rti,L3H8,L3H10,3,3,0,-0.00014004688381419328,0.00014004688381419328,0.05157031491398811,0.0,0.0,0.0,0.0,0.0,1.387392520904541,0.12627003341913223
rti_random,rti,L3H8,L4H8,3,4,1,-4.071688618978442e-05,4.071688618978442e-05,0.04270252212882042,0.04389732703566551,0.04389732703566551,0.0,0.039631009101867676,0.0,1.4630100727081299,0.12627003341913223
rti_random,rti,L3H8,L6H5,3,6,3,0.0007576413475476329,0.0007576413475476329,0.04711886867880821,0.053617898374795914,0.053617898374795914,0.0,0.0455140583217144,0.0,1.423079013824463,0.12627003341913223
rti_random,rti,L3H8,L6H10,3,6,3,-0.00024948768685817413,0.00024948768685817413,0.039191074669361115,0.04592404514551163,0.04592404514551163,0.0,0.042931657284498215,0.0,1.4756666421890259,0.12627003341913223
rti_random,rti,L3H8,L7H10,3,7,4,6.534236518973557e-05,6.534236518973557e-05,0.03017878159880638,0.04335163161158562,0.037643302232027054,0.0,0.04335163161158562,0.0,1.5102646350860596,0.12627003341913223
rti_random,rti,L3H8,L8H1,3,8,5,-4.928303559381675e-05,4.928303559381675e-05,0.034038178622722626,0.05385342240333557,0.04621290788054466,0.0,0.05385342240333557,0.0,1.503326177597046,0.12627003341913223
rti_random,rti,L3H8,L8H8,3,8,5,1.343814273013777e-05,1.343814273013777e-05,0.03349733725190163,0.04049206152558327,0.04049206152558327,0.0,0.03692207857966423,0.0,1.5015945434570312,0.12627003341913223
rti_random,rti,L3H8,L8H11,3,8,5,-0.00047858247700105494,0.00047858247700105494,0.029523499310016632,0.0412900447845459,0.037366680800914764,0.0,0.0412900447845459,0.0,1.5195716619491577,0.12627003341913223
rti_random,rti,L3H8,L9H4,3,9,6,0.0005992553623741514,0.0005992553623741514,0.038112740963697433,0.03766970336437225,0.03766970336437225,0.0,0.03695974126458168,0.0,1.4941399097442627,0.12627003341913223
rti_random,rti,L3H8,L10H8,3,10,7,2.9988322751250962e-05,2.9988322751250962e-05,0.033464815467596054,0.045197661966085434,0.03923773765563965,0.0,0.045197661966085434,0.0,1.509242057800293,0.12627003341913223
rti_random,rti,L3H9,L3H10,3,3,0,-0.0005915817118307132,0.0005915817118307132,0.04517374560236931,0.0,0.0,0.0,0.0,0.0,1.4318299293518066,0.12627003341913223
rti_random,rti,L3H9,L4H8,3,4,1,-0.00045170404638383843,0.00045170404638383843,0.03978314995765686,0.03801820054650307,0.03801820054650307,0.0,0.03639524430036545,0.0,1.4742531776428223,0.12627003341913223
rti_random,rti,L3H9,L6H5,3,6,3,0.0010095282039515041,0.0010095282039515041,0.04109148308634758,0.039091695100069046,0.03884176164865494,0.0,0.039091695100069046,0.0,1.451553463935852,0.12627003341913223
rti_random,rti,L3H9,L6H10,3,6,3,9.063620893812185e-06,9.063620893812185e-06,0.037568025290966034,0.03704594820737839,0.03704594820737839,0.0,0.034599028527736664,0.0,1.4737335443496704,0.12627003341913223
rti_random,rti,L3H9,L7H10,3,7,4,-0.00011333922492440252,0.00011333922492440252,0.03398508206009865,0.03625020757317543,0.03625020757317543,0.0,0.034572482109069824,0.0,1.5058534145355225,0.12627003341913223
rti_random,rti,L3H9,L8H1,3,8,5,-0.0004011137409065668,0.0004011137409065668,0.03803391754627228,0.040998514741659164,0.040998514741659164,0.0,0.03821239620447159,0.0,1.4806501865386963,0.12627003341913223
rti_random,rti,L3H9,L8H8,3,8,5,0.0004069022617727569,0.0004069022617727569,0.03660640865564346,0.03826172277331352,0.03826172277331352,0.0,0.03627549856901169,0.0,1.4884397983551025,0.12627003341913223
rti_random,rti,L3H9,L8H11,3,8,5,-0.001087221518048409,0.001087221518048409,0.03221055492758751,0.03561737388372421,0.03561737388372421,0.0,0.033637989312410355,0.0,1.5106401443481445,0.12627003341913223
rti_random,rti,L3H9,L9H4,3,9,6,-0.0006290834069773155,0.0006290834069773155,0.035836558789014816,0.03850666806101799,0.03850666806101799,0.0,0.03723808750510216,0.0,1.490586757659912,0.12627003341913223
rti_random,rti,L3H9,L10H8,3,10,7,-1.6389721793075296e-05,1.6389721793075296e-05,0.035737354308366776,0.03710426762700081,0.03610233962535858,0.0,0.03710426762700081,0.0,1.505908489227295,0.12627003341913223
rti_random,rti,L3H10,L4H8,3,4,1,0.0006042179296059658,0.0006042179296059658,0.055137235671281815,0.04710771143436432,0.04710771143436432,0.0,0.0427187941968441,0.0,1.3987351655960083,0.12627003341913223
